epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.81133,1.30412,2.20583,1.18714,0.00301,0.98734,0.79214,0.47265,1.12705,2.79856,1.05074,0.000649123,0.000649123,0.000649123
2,5.23862,1.2974,1.36146,1.18122,0.90038,0.28603,0.77524,0.45789,1.25458,2.57925,1.24525,0.00128974,0.00128974,0.00128974
3,7.50487,1.26161,1.2706,1.18118,0.84992,0.93038,0.89223,0.54158,1.33162,1.27201,1.37241,0.00190395,0.00190395,0.00190395
4,9.74484,1.24163,1.12909,1.17233,0.84524,0.91139,0.8896,0.5614,1.23857,1.05123,1.2908,0.0018812,0.0018812,0.0018812
5,12.0054,1.25945,0.996,1.16335,0.85044,0.89974,0.89999,0.54925,1.22435,1.19132,1.1941,0.0018416,0.0018416,0.0018416
6,14.7078,1.2554,0.97584,1.14992,0.86013,0.94304,0.92089,0.59718,1.23999,0.87689,1.16685,0.001802,0.001802,0.001802
7,17.3442,1.21837,0.91345,1.17634,0.88324,0.91772,0.92889,0.62123,1.09616,0.77943,1.13095,0.0017624,0.0017624,0.0017624
8,19.9121,1.25514,0.90763,1.15314,0.79336,0.93038,0.88416,0.50776,1.28168,0.94263,1.18953,0.0017228,0.0017228,0.0017228
9,22.3795,1.19399,0.85875,1.1624,0.90777,0.93441,0.91606,0.58425,1.1644,0.79357,1.14969,0.0016832,0.0016832,0.0016832
10,24.5661,1.15721,0.80157,1.13769,0.8943,0.9557,0.90839,0.59084,1.21389,0.7486,1.15401,0.0016436,0.0016436,0.0016436
11,26.7541,1.12737,0.79006,1.117,0.87187,0.9557,0.90305,0.63343,1.06933,0.82021,1.11784,0.001604,0.001604,0.001604
12,29.0246,1.14178,0.7884,1.12646,0.89817,0.98101,0.89291,0.61677,1.07657,0.68988,1.09668,0.0015644,0.0015644,0.0015644
13,31.224,1.0862,0.7525,1.0903,0.90416,0.94304,0.92224,0.64896,1.06284,0.63792,1.09213,0.0015248,0.0015248,0.0015248
14,33.4122,1.12349,0.75641,1.11657,0.84761,0.95048,0.89033,0.60222,1.13544,0.76014,1.13696,0.0014852,0.0014852,0.0014852
15,35.6507,1.12113,0.7466,1.11827,0.89989,0.96723,0.91378,0.65164,1.01526,0.62011,1.06453,0.0014456,0.0014456,0.0014456
16,37.8216,1.11517,0.72088,1.09593,0.88687,0.9557,0.90799,0.63617,1.04934,0.69008,1.07759,0.001406,0.001406,0.001406
17,39.9968,1.0737,0.71493,1.08854,0.88995,0.96835,0.92893,0.67102,1.01856,0.63115,1.06757,0.0013664,0.0013664,0.0013664
18,42.1552,1.0659,0.69849,1.08098,0.89583,0.96835,0.90924,0.64839,1.01742,0.61379,1.05536,0.0013268,0.0013268,0.0013268
19,44.3771,1.06888,0.69208,1.08376,0.89328,0.98734,0.91111,0.64113,0.98585,0.5935,1.07614,0.0012872,0.0012872,0.0012872
20,46.5349,1.08952,0.69973,1.10562,0.9037,0.98734,0.93741,0.66008,1.0149,0.60786,1.08291,0.0012476,0.0012476,0.0012476
21,48.6855,1.0224,0.65004,1.08955,0.885,0.96835,0.9304,0.64645,1.05334,0.63651,1.07067,0.001208,0.001208,0.001208
22,50.822,1.04196,0.65673,1.07947,0.89961,0.98101,0.94395,0.67922,1.0519,0.59177,1.06741,0.0011684,0.0011684,0.0011684
23,52.9866,1.06111,0.65851,1.0857,0.90509,0.98101,0.93252,0.65769,1.06104,0.61348,1.07387,0.0011288,0.0011288,0.0011288
24,55.1214,1.07448,0.68214,1.08097,0.89981,0.98101,0.9362,0.67473,1.00162,0.58273,1.04739,0.0010892,0.0010892,0.0010892
25,57.2723,1.05523,0.64388,1.07665,0.91004,0.98734,0.92345,0.67964,0.94529,0.57024,1.05575,0.0010496,0.0010496,0.0010496
26,59.4373,1.02423,0.62459,1.06496,0.90139,0.98358,0.93348,0.67791,0.97902,0.59618,1.06002,0.00101,0.00101,0.00101
27,61.6471,1.01469,0.6327,1.07764,0.89551,0.97637,0.93396,0.68158,0.98076,0.57902,1.05187,0.0009704,0.0009704,0.0009704
28,63.7961,1.0099,0.63331,1.05122,0.90936,0.98101,0.9181,0.66622,1.01561,0.57796,1.07574,0.0009308,0.0009308,0.0009308
29,65.9451,1.03071,0.62926,1.0728,0.90906,0.98101,0.93699,0.62867,1.10119,0.58651,1.07476,0.0008912,0.0008912,0.0008912
30,68.1225,1.00424,0.60482,1.06743,0.91218,0.98615,0.92466,0.64983,1.02397,0.57356,1.05939,0.0008516,0.0008516,0.0008516
31,70.3169,0.98478,0.61495,1.05551,0.90871,0.98101,0.91212,0.67404,0.93423,0.55228,1.0392,0.000812,0.000812,0.000812
32,72.483,0.96507,0.5918,1.03362,0.90109,0.98734,0.92685,0.68023,0.97981,0.54038,1.04506,0.0007724,0.0007724,0.0007724
33,74.6478,0.98847,0.5954,1.06197,0.90939,0.98734,0.9271,0.7034,0.95868,0.5329,1.03781,0.0007328,0.0007328,0.0007328
34,76.8033,0.96218,0.58881,1.04105,0.90496,0.98734,0.90951,0.68153,0.95388,0.54972,1.03778,0.0006932,0.0006932,0.0006932
35,78.967,0.96305,0.58632,1.03896,0.91019,0.98734,0.92693,0.67937,0.95611,0.52744,1.03538,0.0006536,0.0006536,0.0006536
36,81.1343,0.94739,0.58794,1.05163,0.91198,0.98734,0.93078,0.69739,0.92835,0.50877,1.03333,0.000614,0.000614,0.000614
37,83.3588,0.96617,0.5758,1.04435,0.90069,0.98101,0.91564,0.68883,0.94552,0.53892,1.03183,0.0005744,0.0005744,0.0005744
38,85.512,0.95903,0.5868,1.04614,0.90675,0.98473,0.92213,0.68698,0.9251,0.52615,1.02653,0.0005348,0.0005348,0.0005348
39,87.6762,0.94255,0.56354,1.03642,0.91171,0.98041,0.93367,0.71313,0.90504,0.50017,1.01649,0.0004952,0.0004952,0.0004952
40,89.896,0.9392,0.56221,1.02115,0.91152,0.98101,0.91059,0.67775,0.92515,0.51452,1.02861,0.0004556,0.0004556,0.0004556
