epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41009,1.32104,2.71026,1.20932,0.00301,0.98734,0.84603,0.47493,1.0605,2.81931,0.9515,0.00036,0.00036,0.00036
2,4.26768,1.20224,1.35481,1.10805,0.00297,0.97468,0.11296,0.04793,1.09343,3.07845,1.1148,0.000725348,0.000725348,0.000725348
3,6.10162,1.26374,1.24987,1.15162,0.9636,0.33507,0.71451,0.43791,1.29153,2.4575,1.23115,0.00107565,0.00107565,0.00107565
4,7.90033,1.2482,1.10296,1.15175,0.85172,0.90887,0.90279,0.58288,1.15402,1.38531,1.20197,0.0014109,0.0014109,0.0014109
5,9.77461,1.25281,1.09491,1.14882,0.86573,0.87342,0.88617,0.56565,1.25032,1.38864,1.29964,0.0017311,0.0017311,0.0017311
6,11.5809,1.18536,0.95898,1.12032,0.66464,0.74007,0.70472,0.3705,1.45575,1.56622,1.38689,0.001802,0.001802,0.001802
7,13.3954,1.23755,0.99174,1.15351,0.79165,0.79114,0.82011,0.50127,1.29302,1.50518,1.2836,0.0017624,0.0017624,0.0017624
8,15.1847,1.19063,0.92639,1.11847,0.86323,0.95873,0.90759,0.59227,1.17455,1.03598,1.17031,0.0017228,0.0017228,0.0017228
9,16.9748,1.19354,0.90219,1.14466,0.89657,0.88608,0.92361,0.58194,1.20061,0.97112,1.16646,0.0016832,0.0016832,0.0016832
10,18.7735,1.17788,0.84254,1.1244,0.88104,0.90506,0.93037,0.59975,1.15365,0.91651,1.14898,0.0016436,0.0016436,0.0016436
11,20.5493,1.16584,0.81072,1.11265,0.87429,0.96839,0.90481,0.62137,1.08298,0.72284,1.12944,0.001604,0.001604,0.001604
12,22.3428,1.16438,0.81191,1.11119,0.88977,0.98734,0.9133,0.57355,1.18332,0.92827,1.15788,0.0015644,0.0015644,0.0015644
13,24.295,1.13582,0.76816,1.08992,0.86502,0.97348,0.89971,0.58293,1.139,0.76237,1.1436,0.0015248,0.0015248,0.0015248
14,26.2906,1.10152,0.74177,1.09988,0.80664,0.89769,0.85521,0.57404,1.10539,1.01153,1.14725,0.0014852,0.0014852,0.0014852
15,28.257,1.10885,0.74542,1.10062,0.8468,0.94453,0.91271,0.60624,1.11686,0.77935,1.13843,0.0014456,0.0014456,0.0014456
16,30.2374,1.13453,0.74424,1.09887,0.88794,0.96203,0.92503,0.65454,1.03132,0.66091,1.07117,0.001406,0.001406,0.001406
17,32.1542,1.13088,0.73891,1.09414,0.88614,0.9852,0.92322,0.64914,1.0502,0.64467,1.07446,0.0013664,0.0013664,0.0013664
18,33.9482,1.08939,0.72082,1.08125,0.89029,0.97586,0.91951,0.63437,1.0657,0.65165,1.09337,0.0013268,0.0013268,0.0013268
19,35.7572,1.08091,0.66922,1.06807,0.9016,0.98734,0.91503,0.65292,1.00058,0.62453,1.08165,0.0012872,0.0012872,0.0012872
20,37.6843,1.10069,0.67165,1.07858,0.89853,0.97468,0.91371,0.64017,1.04706,0.70028,1.08562,0.0012476,0.0012476,0.0012476
21,39.4841,1.08646,0.69755,1.06971,0.89486,0.98101,0.9299,0.61482,1.1452,0.68184,1.13614,0.001208,0.001208,0.001208
22,41.2807,1.06575,0.66244,1.07816,0.90901,0.98734,0.92098,0.65301,1.02768,0.60791,1.06091,0.0011684,0.0011684,0.0011684
23,43.0739,1.03648,0.63809,1.0739,0.91015,0.98734,0.93415,0.66385,1.00079,0.59866,1.07072,0.0011288,0.0011288,0.0011288
24,44.8831,1.0247,0.65246,1.05615,0.90553,0.98101,0.91326,0.6635,0.99601,0.58204,1.04948,0.0010892,0.0010892,0.0010892
25,46.6737,1.02605,0.65972,1.05768,0.91015,0.98734,0.91486,0.65694,1.02362,0.59954,1.08614,0.0010496,0.0010496,0.0010496
26,48.4724,1.0123,0.64405,1.0465,0.89546,0.98101,0.92002,0.59048,1.21559,0.63516,1.10977,0.00101,0.00101,0.00101
27,50.2531,1.05556,0.63572,1.06568,0.90168,0.98672,0.90037,0.62979,1.04882,0.63829,1.07087,0.0009704,0.0009704,0.0009704
28,52.0509,0.96228,0.60566,1.04402,0.89634,0.98513,0.92702,0.67484,0.95451,0.57835,1.03695,0.0009308,0.0009308,0.0009308
29,53.8794,1.01031,0.61596,1.05908,0.90627,0.98734,0.9159,0.66693,1.01573,0.59512,1.0628,0.0008912,0.0008912,0.0008912
30,55.6395,1.00058,0.60126,1.05624,0.9104,0.98734,0.92044,0.6794,0.9545,0.56021,1.04084,0.0008516,0.0008516,0.0008516
31,57.3892,1.00838,0.60477,1.06196,0.90641,0.98071,0.93433,0.66771,1.01248,0.56703,1.05648,0.000812,0.000812,0.000812
32,59.1736,0.99673,0.60962,1.03371,0.90045,0.98734,0.91035,0.67664,0.95778,0.53079,1.03935,0.0007724,0.0007724,0.0007724
33,60.928,0.99575,0.59539,1.06153,0.9105,0.98734,0.91172,0.67161,0.97428,0.54743,1.04408,0.0007328,0.0007328,0.0007328
34,62.6872,0.94614,0.57238,1.02845,0.90677,0.98495,0.90768,0.64792,1.01682,0.5748,1.05179,0.0006932,0.0006932,0.0006932
35,64.4265,0.94793,0.61386,1.05573,0.90826,0.98101,0.91225,0.66962,0.97518,0.54481,1.05233,0.0006536,0.0006536,0.0006536
36,66.1906,0.92487,0.57214,1.02817,0.91089,0.98734,0.92239,0.69248,0.90118,0.52303,1.02289,0.000614,0.000614,0.000614
37,67.9533,0.93141,0.56787,1.03137,0.91042,0.98734,0.90639,0.66286,0.93836,0.55351,1.03538,0.0005744,0.0005744,0.0005744
