epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46766,1.25063,2.36631,1.19332,0.81951,0.89089,0.84838,0.52211,1.20736,2.70087,1.1324,0.000657895,0.000657895,0.000657895
2,8.23502,1.23972,1.71039,1.19386,0.64541,0.75949,0.69398,0.37181,1.43458,2.25939,1.2937,0.00129834,0.00129834,0.00129834
3,11.9479,1.29428,1.51423,1.23439,0.79599,0.75316,0.81884,0.5069,1.29855,1.77544,1.37061,0.00191238,0.00191238,0.00191238
4,15.6363,1.25104,1.29784,1.21881,0.81499,0.90506,0.89337,0.55613,1.23438,1.28395,1.29748,0.0018812,0.0018812,0.0018812
5,19.3202,1.25688,1.16754,1.23151,0.78949,0.92575,0.89006,0.56474,1.17421,1.3179,1.26851,0.0018416,0.0018416,0.0018416
6,22.9713,1.20326,1.01847,1.20609,0.83008,0.87975,0.87543,0.56661,1.17115,1.30012,1.31301,0.001802,0.001802,0.001802
7,26.6254,1.23893,0.98319,1.24755,0.81371,0.80171,0.82412,0.52598,1.1879,1.06506,1.27584,0.0017624,0.0017624,0.0017624
8,30.2892,1.22409,0.90607,1.23396,0.86876,0.96835,0.90526,0.59268,1.11773,0.8446,1.24879,0.0017228,0.0017228,0.0017228
9,34.05,1.14976,0.88848,1.2158,0.87832,0.96203,0.90232,0.60896,1.1479,0.79983,1.28694,0.0016832,0.0016832,0.0016832
10,37.6887,1.2001,0.86572,1.2291,0.88382,0.96291,0.93484,0.63327,1.10065,0.77873,1.24415,0.0016436,0.0016436,0.0016436
11,41.3168,1.1389,0.824,1.18561,0.87625,0.9557,0.92083,0.60856,1.12412,0.75216,1.24242,0.001604,0.001604,0.001604
12,45.4002,1.15114,0.79706,1.19001,0.89301,0.98101,0.88883,0.62118,1.02379,0.71307,1.20289,0.0015644,0.0015644,0.0015644
13,49.5331,1.10661,0.78671,1.19178,0.8876,0.98101,0.93232,0.6447,1.04447,0.69371,1.26813,0.0015248,0.0015248,0.0015248
14,53.4928,1.13098,0.74371,1.18753,0.88943,0.93671,0.92646,0.62301,1.06733,0.74712,1.19014,0.0014852,0.0014852,0.0014852
15,57.1435,1.08565,0.75729,1.16287,0.87861,0.97468,0.89926,0.58105,1.18486,0.72111,1.27896,0.0014456,0.0014456,0.0014456
16,60.7873,1.1233,0.76213,1.18758,0.89101,0.98101,0.92443,0.6392,1.03642,0.66694,1.21969,0.001406,0.001406,0.001406
17,64.4314,1.06974,0.70999,1.1515,0.90883,0.98101,0.92047,0.63415,1.00622,0.68345,1.19705,0.0013664,0.0013664,0.0013664
18,68.0868,1.09433,0.72204,1.1688,0.90165,0.98734,0.92629,0.65222,0.98209,0.64414,1.16339,0.0013268,0.0013268,0.0013268
19,71.7617,1.05906,0.6854,1.17766,0.90566,0.98734,0.93259,0.66875,1.00762,0.61786,1.20729,0.0012872,0.0012872,0.0012872
20,75.5231,1.06536,0.70975,1.15618,0.89915,0.98101,0.90843,0.65146,1.04778,0.64174,1.20067,0.0012476,0.0012476,0.0012476
21,79.1985,1.03471,0.67854,1.15079,0.89422,0.98734,0.90382,0.66363,0.97571,0.61756,1.1711,0.001208,0.001208,0.001208
22,82.8483,1.04031,0.68404,1.13993,0.91083,0.98734,0.90372,0.64752,1.00678,0.64531,1.16913,0.0011684,0.0011684,0.0011684
23,86.4861,1.07588,0.67137,1.16387,0.90083,0.97735,0.91096,0.65533,0.99696,0.64262,1.18076,0.0011288,0.0011288,0.0011288
24,90.1459,1.02851,0.6519,1.138,0.89558,0.97713,0.90673,0.6461,1.02169,0.64073,1.23286,0.0010892,0.0010892,0.0010892
25,93.7942,1.04781,0.66244,1.1683,0.906,0.96203,0.90262,0.65895,0.96241,0.61526,1.19408,0.0010496,0.0010496,0.0010496
26,97.4842,0.98099,0.6301,1.1276,0.89589,0.98038,0.9121,0.65242,1.03841,0.6218,1.22185,0.00101,0.00101,0.00101
27,101.14,1.01871,0.65213,1.148,0.89513,0.97242,0.9048,0.66573,0.98103,0.61761,1.17427,0.0009704,0.0009704,0.0009704
28,105.106,0.99685,0.6558,1.12962,0.90151,0.98734,0.92933,0.65732,0.98754,0.62432,1.1987,0.0009308,0.0009308,0.0009308
29,108.882,1.01858,0.64258,1.15197,0.90551,0.98734,0.93419,0.66,0.98915,0.5942,1.17884,0.0008912,0.0008912,0.0008912
30,112.665,0.97587,0.60582,1.11282,0.90682,0.98734,0.89701,0.65137,0.96275,0.58251,1.19247,0.0008516,0.0008516,0.0008516
31,116.425,1.01789,0.6347,1.14412,0.91153,0.98734,0.90574,0.6719,0.91835,0.57789,1.1866,0.000812,0.000812,0.000812
32,120.066,1.01259,0.6284,1.14582,0.90053,0.98734,0.92603,0.6834,0.96938,0.58833,1.17843,0.0007724,0.0007724,0.0007724
33,123.72,0.97222,0.59879,1.13352,0.90621,0.98734,0.91264,0.6722,0.94812,0.57681,1.17764,0.0007328,0.0007328,0.0007328
34,127.389,1.01129,0.62587,1.14879,0.90076,0.98734,0.91378,0.68339,0.93917,0.55399,1.16982,0.0006932,0.0006932,0.0006932
